"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J1";"PinSocket_2x05_P2.54mm_Vertical";1;"LSAO";;;
2;"R1,R2";"R_0805_2012Metric";2;"1K";;;
3;"SW1,SW2,SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11,SW12,SW13,SW14,SW15,SW16";"SW_Cherry_MX1A_1.00u_PCB";16;"SW_Push";;;
4;"U1";"SOIC-28W_7.5x17.9mm_P1.27mm";1;"MCP23017_SO";;;
5;"R3";"R_0805_2012Metric";1;"470r";;;
6;"D1";"LED_0805_2012Metric";1;"LED";;;
